BOROUGH,LATITUDE,LONGITUDE,HOUR,DAY_OF_WEEK,MONTH,IS_WEEKEND,IS_RUSH_HOUR,CONTRIBUTING FACTOR VEHICLE 1,VEHICLE TYPE CODE 1,TARGET
MANHATTAN,40.721473,-73.9838235,0,1,4,0,0,Unspecified,AMBULANCE,0
MANHATTAN,40.7736009,-73.9815723,8,0,4,0,1,Unspecified,PICK-UP TRUCK,1
BROOKLYN,40.6834193,-73.9819939,7,4,6,0,1,Failure to Yield Right-of-Way,SPORT UTILITY / STATION WAGON,0
MANHATTAN,40.837803,-73.94215,19,1,8,0,0,Unspecified,Sedan,1
QUEENS,40.679058,-73.83053,16,3,6,0,1,Unsafe Speed,,0
BROOKLYN,40.6849032,-73.9294521,13,4,10,0,0,Unspecified,VAN,0
BROOKLYN,40.7027993,-73.9136435,22,5,10,1,0,Unspecified,PASSENGER VEHICLE,1
,40.820053,-73.92666,1,6,11,1,0,Alcohol Involvement,Station Wagon/Sport Utility Vehicle,1
MANHATTAN,40.805153,-73.95112,22,5,4,1,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.616783,-73.97007,9,3,9,0,1,Unspecified,Station Wagon/Sport Utility Vehicle,1
BROOKLYN,40.6686581,-73.8892835,21,3,11,0,0,Unspecified,UNKNOWN,0
BROOKLYN,40.660656,-73.93033,7,2,10,0,1,Traffic Control Disregarded,,0
QUEENS,40.701427,-73.89166,17,5,2,1,1,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,,,7,0,12,0,1,Failure to Yield Right-of-Way,Bike,1
MANHATTAN,40.724136,-73.992615,22,6,11,1,0,Unspecified,Bike,1
BROOKLYN,40.6114903,-73.9723968,15,3,11,0,0,Driver Inattention/Distraction,PASSENGER VEHICLE,0
BROOKLYN,40.642563,-73.90633,18,4,12,0,1,Traffic Control Disregarded,Bike,1
BRONX,40.9010398,-73.8968799,3,4,12,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0
BRONX,40.9059675,-73.904339,12,0,7,0,0,Driver Inattention/Distraction,SPORT UTILITY / STATION WAGON,0
QUEENS,40.675198,-73.789894,20,4,7,0,0,Driver Inattention/Distraction,Sedan,0
BROOKLYN,40.65473,-73.90692,0,4,8,0,0,Turning Improperly,Sedan,1
QUEENS,40.753044,-73.871635,16,2,12,0,1,Driver Inattention/Distraction,Pick-up Truck,1
MANHATTAN,40.8197705,-73.9367193,8,0,8,0,1,Unspecified,SPORT UTILITY / STATION WAGON,0
BROOKLYN,40.71337,-73.934814,12,2,8,0,0,Failure to Yield Right-of-Way,Sedan,1
MANHATTAN,40.751488,-73.99768,21,4,1,0,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.7570653,-74.001054,8,5,6,1,1,Unspecified,TAXI,0
MANHATTAN,40.777874,-73.9517434,12,4,11,0,0,Other Vehicular,PASSENGER VEHICLE,0
,40.7517,-73.986404,9,4,11,0,1,Failure to Yield Right-of-Way,Sedan,1
,40.750317,-73.99112,0,6,3,1,0,Unspecified,Taxi,0
QUEENS,40.7027387,-73.802286,18,0,7,0,1,Failure to Yield Right-of-Way,PASSENGER VEHICLE,0
BROOKLYN,40.7110596,-73.9421068,16,1,5,0,1,Lost Consciousness,PASSENGER VEHICLE,1
,,,10,5,6,1,0,Unspecified,PASSENGER VEHICLE,1
QUEENS,40.7463333,-73.8963254,17,4,5,0,1,Lost Consciousness,VAN,1
BROOKLYN,40.629425,-73.99795,18,0,5,0,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Bike,1
BROOKLYN,40.707645,-73.95573,21,4,12,0,0,Unspecified,Sedan,0
STATEN ISLAND,40.613373,-74.063255,7,3,5,0,1,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.73988,-73.99871,17,4,8,0,1,Failure to Yield Right-of-Way,Sedan,1
BROOKLYN,40.630745,-73.97717,20,0,4,0,0,Unspecified,Sedan,0
BRONX,40.8452223,-73.8661181,14,3,8,0,0,Unspecified,PASSENGER VEHICLE,1
QUEENS,40.6982557,-73.9087736,1,6,9,1,0,Driver Inattention/Distraction,SPORT UTILITY / STATION WAGON,0
QUEENS,40.71071,-73.793045,22,3,6,0,0,View Obstructed/Limited,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.7095517,-73.9588589,22,0,8,0,0,Failure to Yield Right-of-Way,TAXI,0
BROOKLYN,40.642868,-73.917656,15,4,6,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Sedan,1
MANHATTAN,40.853714,-73.92681,23,5,5,1,0,Unspecified,Sedan,0
QUEENS,40.665257,-73.735344,5,3,9,0,0,View Obstructed/Limited,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.740597,-73.98395,11,5,10,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Sedan,0
QUEENS,40.699512,-73.79342,9,4,8,0,1,Backing Unsafely,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.6938007,-73.9872271,16,3,6,0,1,Driver Inattention/Distraction,SPORT UTILITY / STATION WAGON,1
,40.641064,-73.94662,21,1,10,0,0,Driver Inattention/Distraction,Sedan,0
BRONX,40.833694,-73.88677,19,3,6,0,0,Driver Inattention/Distraction,Sedan,0
,40.747295,-73.97405,10,1,7,0,0,Traffic Control Disregarded,Station Wagon/Sport Utility Vehicle,1
MANHATTAN,40.8141445,-73.9557055,13,2,5,0,0,Failure to Yield Right-of-Way,TAXI,0
BROOKLYN,40.621777,-73.920395,16,5,11,1,1,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
QUEENS,40.7209567,-73.8093425,18,5,12,1,1,Unspecified,PASSENGER VEHICLE,0
,40.668358,-73.95592,23,2,11,0,0,Passing Too Closely,Station Wagon/Sport Utility Vehicle,1
BRONX,40.89083,-73.84933,19,1,5,0,0,Backing Unsafely,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.642864,-74.01266,17,0,11,0,1,Unsafe Speed,E-Bike,1
MANHATTAN,40.7509908,-73.9906233,15,1,9,0,0,Unspecified,UNKNOWN,0
MANHATTAN,40.8108433,-73.9506791,19,4,4,0,0,Passenger Distraction,VAN,1
,40.689964,-73.796776,10,1,4,0,0,Other Vehicular,E-Bike,1
BROOKLYN,40.5915981,-73.9606815,12,6,10,1,0,Traffic Control Disregarded,UNKNOWN,0
MANHATTAN,40.815304,-73.94371,22,6,6,1,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,1
QUEENS,40.7688754,-73.8763548,13,4,7,0,0,Unspecified,PASSENGER VEHICLE,0
BROOKLYN,40.6336576,-73.8890192,10,0,10,0,0,Unspecified,Sedan,0
QUEENS,40.74831,-73.70954,8,1,7,0,1,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
BRONX,40.8411332,-73.9239954,14,1,10,0,0,Passenger Distraction,PASSENGER VEHICLE,0
BROOKLYN,40.683723,-73.96797,19,5,5,1,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1
BROOKLYN,40.680782,-73.975075,14,6,9,1,0,Turning Improperly,,0
BRONX,40.8142683,-73.9129533,14,6,9,1,0,Oversized Vehicle,BUS,0
MANHATTAN,40.749054,-73.99576,0,5,8,1,0,Unspecified,Taxi,0
,40.761223,-73.9238,20,0,11,0,0,Unspecified,Sedan,1
BROOKLYN,40.6451058,-74.0103204,15,2,3,0,0,Unspecified,UNKNOWN,0
,40.575935,-74.00543,19,4,10,0,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.863113,-73.920616,20,0,1,0,0,View Obstructed/Limited,Station Wagon/Sport Utility Vehicle,0
QUEENS,40.7596849,-73.8211653,14,6,3,1,0,Backing Unsafely,PASSENGER VEHICLE,0
BROOKLYN,40.58162,-73.95771,12,2,12,0,0,Passing Too Closely,Pick-up Truck,0
,40.610096,-73.96138,12,1,11,0,0,Failure to Yield Right-of-Way,,0
QUEENS,40.75715,-73.82892,15,0,9,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Station Wagon/Sport Utility Vehicle,0
,,,13,1,10,0,0,Driver Inexperience,Bike,1
BRONX,40.87673,-73.8473,21,5,3,1,0,Unspecified,Station Wagon/Sport Utility Vehicle,0
BRONX,40.8701843,-73.8855166,14,5,12,1,0,Unspecified,UNKNOWN,0
BROOKLYN,40.663483,-73.9627,15,0,5,0,0,Driver Inattention/Distraction,4 dr sedan,1
BROOKLYN,40.6668667,-73.9285232,21,2,12,0,0,Unspecified,PASSENGER VEHICLE,0
BRONX,40.844566,-73.86657,4,5,11,1,0,Unspecified,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.71175,-73.9558,21,1,6,0,0,Driver Inattention/Distraction,Sedan,1
MANHATTAN,40.76546,-73.9819897,17,2,11,0,1,Other Vehicular,TAXI,0
STATEN ISLAND,40.61295,-74.12464,17,3,12,0,1,Driver Inattention/Distraction,Sedan,0
MANHATTAN,40.794651,-73.9717827,20,4,1,0,0,Unspecified,BUS,0
QUEENS,40.7556135,-73.867132,3,6,9,1,0,Passenger Distraction,PASSENGER VEHICLE,0
QUEENS,40.734413,-73.876366,15,0,8,0,0,Driver Inattention/Distraction,Sedan,0
,40.79166,-73.96469,17,0,1,0,1,Driver Inattention/Distraction,Taxi,1
BRONX,40.8732771,-73.8535761,22,6,2,1,0,Unspecified,TAXI,0
MANHATTAN,40.759727,-73.99169,18,0,11,0,1,Driver Inattention/Distraction,Bike,0
,40.73652,-73.8701,21,3,9,0,0,Driver Inattention/Distraction,Sedan,0
BROOKLYN,40.673103,-73.92793,19,5,2,1,0,Unspecified,Sedan,0
BROOKLYN,40.61895,-73.92689,18,2,3,0,1,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.63347,-74.02102,8,0,4,0,1,Failure to Yield Right-of-Way,Pick-up Truck,0
BROOKLYN,40.59011,-73.97422,19,5,2,1,0,Unspecified,Station Wagon/Sport Utility Vehicle,0
BRONX,40.83613,-73.88987,17,6,8,1,1,Unspecified,Sedan,0
BRONX,40.884575,-73.89889,19,1,11,0,0,Unspecified,Sedan,0
,,,0,3,9,0,0,Driver Inattention/Distraction,Bike,1
QUEENS,40.758743,-73.890686,10,1,4,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
BRONX,40.87307,-73.8442296,13,5,12,1,0,Unspecified,PASSENGER VEHICLE,0
BROOKLYN,40.66617,-73.988815,21,0,6,0,0,Driver Inattention/Distraction,Bike,1
,40.706966,-73.75283,22,4,7,0,0,Driver Inattention/Distraction,4 dr sedan,0
,40.785244,-73.84118,19,6,12,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Van,0
BROOKLYN,40.69302,-73.91626,16,1,7,0,1,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,,,13,2,9,0,0,Unspecified,PK,1
MANHATTAN,40.741627,-74.00697,12,1,10,0,0,Driver Inattention/Distraction,Box Truck,1
QUEENS,40.712494,-73.76869,12,5,5,1,0,Unspecified,Sedan,0
,40.804375,-73.93742,10,2,5,0,0,Unspecified,Tractor Truck Diesel,0
BRONX,40.86607,-73.89439,15,1,10,0,0,Unspecified,Sedan,0
MANHATTAN,40.748436,-73.984566,17,0,5,0,1,Traffic Control Disregarded,Bike,0
MANHATTAN,40.7852936,-73.9693348,18,3,10,0,1,Passenger Distraction,SPORT UTILITY / STATION WAGON,1
BROOKLYN,40.63178,-73.945625,9,4,8,0,1,Failure to Yield Right-of-Way,Bike,1
BRONX,40.893227,-73.86194,19,4,6,0,0,Unsafe Speed,E-Bike,1
BROOKLYN,40.655033,-73.869194,11,2,8,0,0,Failure to Yield Right-of-Way,Sedan,0
BRONX,40.85381,-73.91386,8,1,6,0,1,View Obstructed/Limited,Dump,0
QUEENS,40.7265701,-73.8526393,23,4,12,0,0,Pavement Slippery,SPORT UTILITY / STATION WAGON,1
MANHATTAN,40.724403,-73.99589,19,1,9,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Sedan,1
BRONX,40.817387,-73.92277,17,0,7,0,1,Unspecified,Station Wagon/Sport Utility Vehicle,0
QUEENS,40.732582,-73.86805,5,1,10,0,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
QUEENS,40.7558527,-73.8825801,14,6,10,1,0,Unspecified,SPORT UTILITY / STATION WAGON,1
,40.733612,-73.999565,17,0,3,0,1,Traffic Control Disregarded,E-Bike,0
BROOKLYN,40.724636,-73.94818,23,1,9,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Taxi,1
BROOKLYN,40.6238257,-73.9736957,15,4,10,0,0,Unspecified,PASSENGER VEHICLE,0
,,,19,3,10,0,0,Driver Inattention/Distraction,PASSENGER VEHICLE,1
BRONX,40.816532,-73.92822,19,3,2,0,0,Unspecified,Sedan,0
,40.65692,-73.926094,17,0,6,0,1,Driver Inexperience,Bike,1
BROOKLYN,40.6418837,-74.0064968,17,4,2,0,1,Driver Inattention/Distraction,UNKNOWN,0
MANHATTAN,40.749317,-73.99929,9,2,10,0,1,Unspecified,Sedan,0
BRONX,40.8865285,-73.8997812,16,3,1,0,1,Unspecified,PASSENGER VEHICLE,0
QUEENS,40.7594369,-73.9130863,20,4,3,0,0,Unspecified,SPORT UTILITY / STATION WAGON,1
,40.794235,-73.962814,19,5,10,1,0,Turning Improperly,Sedan,1
QUEENS,40.677322,-73.790955,18,2,11,0,1,Unspecified,Sedan,0
,,,13,4,2,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0
BROOKLYN,40.7040071,-73.9300703,1,2,10,0,0,Unspecified,UNKNOWN,0
BROOKLYN,40.633084,-74.0055664,23,2,2,0,0,Unspecified,PASSENGER VEHICLE,0
BROOKLYN,40.6824939,-73.9796145,9,2,9,0,1,Prescription Medication,PASSENGER VEHICLE,1
MANHATTAN,40.754128,-73.98834,21,5,9,1,0,Alcohol Involvement,Sedan,1
MANHATTAN,40.7126465,-73.9899722,10,5,3,1,0,Unspecified,SPORT UTILITY / STATION WAGON,0
BROOKLYN,40.70021,-73.941055,18,1,2,0,1,Unspecified,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.6783108,-73.9791759,23,4,10,0,0,Unspecified,PASSENGER VEHICLE,0
,,,18,0,5,0,1,Driver Inattention/Distraction,Pick-up Truck,0
,40.662697,-73.947945,22,1,11,0,0,Driver Inattention/Distraction,Sedan,0
,40.7429,-73.89659,18,4,11,0,1,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1
,40.67612,-73.936005,17,4,4,0,1,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
QUEENS,40.6911841,-73.8680573,18,3,8,0,1,Driver Inattention/Distraction,OTHER,1
,40.76912,-73.95505,6,0,10,0,0,Driver Inattention/Distraction,Taxi,0
BROOKLYN,40.689582,-73.9721373,10,4,10,0,0,Failure to Yield Right-of-Way,PASSENGER VEHICLE,0
MANHATTAN,40.7621793,-73.9661291,22,4,12,0,0,Driver Inattention/Distraction,TAXI,0
MANHATTAN,40.8432227,-73.9391763,16,5,10,1,1,Unspecified,PASSENGER VEHICLE,0
MANHATTAN,40.7572323,-73.9897922,21,2,5,0,0,Unspecified,PASSENGER VEHICLE,0
BRONX,40.815437,-73.924,19,5,10,1,0,Failure to Yield Right-of-Way,Bike,1
,,,0,2,6,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Bike,1
QUEENS,40.595734,-73.77478,17,0,5,0,1,Unspecified,Box Truck,0
QUEENS,40.68775,-73.857414,18,3,5,0,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Bike,1
MANHATTAN,40.7596199,-73.9619648,15,0,9,0,0,Driver Inattention/Distraction,PASSENGER VEHICLE,0
QUEENS,40.77613,-73.910706,14,1,12,0,0,Unspecified,Bus,0
MANHATTAN,40.7357898,-73.9853608,11,3,10,0,0,Driver Inattention/Distraction,TAXI,0
BRONX,40.8463591,-73.844621,18,1,1,0,1,Unspecified,SPORT UTILITY / STATION WAGON,0
MANHATTAN,40.823616,-73.95283,12,3,10,0,0,Unspecified,Sedan,1
MANHATTAN,40.718143,-73.993835,17,0,8,0,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Bike,1
BROOKLYN,40.6768082,-73.9557498,16,2,4,0,1,Driver Inattention/Distraction,PASSENGER VEHICLE,1
BRONX,40.8196938,-73.9016016,19,1,7,0,0,Unspecified,UNKNOWN,0
STATEN ISLAND,40.6317633,-74.0979916,17,1,7,0,1,Unspecified,PASSENGER VEHICLE,0
STATEN ISLAND,40.6391762,-74.121823,22,5,12,1,0,Unspecified,PASSENGER VEHICLE,0
BRONX,40.81632,-73.89622,3,5,10,1,0,,,0
BROOKLYN,40.6836516,-73.8721862,12,4,4,0,0,Unspecified,VAN,0
,,,13,0,8,0,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.6872462,-73.9546828,21,4,7,0,0,Alcohol Involvement,PASSENGER VEHICLE,0
QUEENS,40.765823,-73.82373,13,4,11,0,0,Driver Inattention/Distraction,Box Truck,0
BRONX,40.82075,-73.86765,16,2,4,0,1,Traffic Control Disregarded,Taxi,1
QUEENS,40.7014601,-73.8041291,17,0,11,0,1,Unspecified,PASSENGER VEHICLE,1
MANHATTAN,40.7592705,-73.9808868,11,1,8,0,0,Unspecified,TAXI,0
MANHATTAN,40.774734,-73.98818,14,1,5,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,1
BRONX,40.8097792,-73.9223984,14,2,5,0,0,Unspecified,UNKNOWN,1
QUEENS,40.7454375,-73.9229894,18,3,5,0,1,Driver Inattention/Distraction,VAN,1
BROOKLYN,40.69973,-73.9402,15,5,3,1,0,Unspecified,Bike,1
QUEENS,40.761623,-73.82208,22,2,6,0,0,Traffic Control Disregarded,Convertible,1
QUEENS,40.68199,-73.788414,21,3,3,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
BRONX,40.8332179,-73.8994495,4,6,3,1,0,Unspecified,LIVERY VEHICLE,0
,40.791466,-73.97411,18,5,10,1,1,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.8193772,-73.9593221,15,1,8,0,0,Unspecified,PASSENGER VEHICLE,0
QUEENS,40.7595695,-73.8301393,12,6,1,1,0,Unspecified,SPORT UTILITY / STATION WAGON,0
,40.687325,-73.83525,17,4,9,0,1,Failure to Yield Right-of-Way,Sedan,0
BRONX,40.837864,-73.86356,13,5,12,1,0,Passing or Lane Usage Improper,Station Wagon/Sport Utility Vehicle,1
MANHATTAN,40.7446288,-73.9989715,14,2,4,0,0,Unspecified,SPORT UTILITY / STATION WAGON,1
QUEENS,40.7541222,-73.8813163,20,1,9,0,0,Outside Car Distraction,VAN,1
BROOKLYN,40.650764,-73.88481,17,5,11,1,1,Driver Inattention/Distraction,Bike,1
QUEENS,40.685394,-73.77364,16,1,12,0,1,Driver Inattention/Distraction,Sedan,0
MANHATTAN,40.798622,-73.94162,12,1,1,0,0,Backing Unsafely,Station Wagon/Sport Utility Vehicle,0
QUEENS,40.75975,-73.89087,16,4,10,0,1,Driver Inattention/Distraction,Bike,1
,40.66095,-73.92906,19,0,4,0,0,Unspecified,Sedan,0
BRONX,40.9113269,-73.90656,15,1,9,0,0,Other Vehicular,PASSENGER VEHICLE,0
,40.761406,-73.80385,20,5,6,1,0,Failure to Yield Right-of-Way,Bike,1
BRONX,40.811714,-73.92671,18,1,1,0,1,Unspecified,Bus,0
BRONX,40.87126,-73.84992,11,4,5,0,0,Failure to Yield Right-of-Way,Sedan,0
BROOKLYN,40.657642,-73.8749,17,0,3,0,1,Unspecified,Sedan,0
BROOKLYN,40.624035,-73.91969,17,5,4,1,1,Failure to Yield Right-of-Way,Pick-up Truck,0
MANHATTAN,40.72032,-73.99404,13,2,3,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
QUEENS,40.69335,-73.90041,15,4,2,0,0,Unspecified,Station Wagon/Sport Utility Vehicle,0
BRONX,40.883743,-73.89831,4,6,1,1,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
,0.0,0.0,18,1,3,0,1,Illnes,Van,0
MANHATTAN,,,13,2,5,0,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.643333,-73.95973,9,0,6,0,1,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
QUEENS,40.74331,-73.87451,9,2,1,0,1,Alcohol Involvement,Station Wagon/Sport Utility Vehicle,0
BRONX,40.89139,-73.83013,7,3,3,0,1,Driver Inattention/Distraction,Chassis Cab,1
,40.770763,-73.97855,18,5,8,1,1,Unspecified,Bike,1
BROOKLYN,40.6756309,-74.0035006,19,3,5,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0
,40.624172,-73.94836,0,6,5,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Station Wagon/Sport Utility Vehicle,1
MANHATTAN,40.81394,-73.948425,5,6,10,1,0,Turning Improperly,Sedan,1
BROOKLYN,40.6780095,-73.9413784,16,3,2,0,1,Unspecified,PASSENGER VEHICLE,0
QUEENS,40.757423,-73.92247,8,1,10,0,1,Driver Inattention/Distraction,Sedan,1
BROOKLYN,40.668373,-73.92264,18,4,12,0,1,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.7535538,-73.9850428,12,6,9,1,0,Driver Inattention/Distraction,PASSENGER VEHICLE,0
BROOKLYN,40.65008,-73.96101,0,4,10,0,0,,,0
BROOKLYN,40.7099207,-73.9622925,11,3,5,0,0,Unspecified,LARGE COM VEH(6 OR MORE TIRES),1
QUEENS,40.7816495,-73.8366945,7,2,1,0,1,Backing Unsafely,UNKNOWN,0
MANHATTAN,40.7241363,-73.9926041,16,4,5,0,1,Unspecified,VAN,0
,40.64943,-74.01296,12,0,11,0,0,Unspecified,Sedan,1
MANHATTAN,40.73602,-73.98228,15,2,9,0,0,Failure to Yield Right-of-Way,Sedan,1
BROOKLYN,40.6776736,-73.9135859,20,3,3,0,0,Unspecified,PASSENGER VEHICLE,0
BRONX,40.8350109,-73.9035195,19,5,1,1,0,Unspecified,PASSENGER VEHICLE,0
,40.673565,-73.90788,17,4,7,0,1,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Dump,1
MANHATTAN,40.7128,-73.997116,8,5,1,1,1,Driver Inexperience,Sedan,0
BRONX,40.849503,-73.85102,19,2,3,0,0,View Obstructed/Limited,Station Wagon/Sport Utility Vehicle,0
,,,13,6,11,1,0,Failure to Yield Right-of-Way,SPORT UTILITY / STATION WAGON,0
,40.846867,-73.90876,22,2,11,0,0,Driver Inattention/Distraction,,0
QUEENS,40.69495,-73.846275,8,1,2,0,1,Failure to Yield Right-of-Way,Sedan,0
BROOKLYN,40.6870802,-73.913891,8,1,10,0,1,Unspecified,OTHER,1
,40.859875,-73.89323,15,5,8,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,AMBULANCE,0
QUEENS,40.7533047,-73.912571,15,4,3,0,0,Unspecified,UNKNOWN,0
MANHATTAN,40.7596199,-73.9619648,12,5,5,1,0,Unspecified,TAXI,0
BROOKLYN,40.6787832,-73.9109381,19,4,4,0,0,Unspecified,PASSENGER VEHICLE,0
MANHATTAN,40.789948,-73.94293,18,2,10,0,1,Pavement Slippery,Sedan,1
BRONX,40.822838,-73.928764,19,5,1,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Bike,1
BRONX,40.839207,-73.86381,23,3,11,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.6320129,-74.0131754,12,1,8,0,0,Unspecified,PASSENGER VEHICLE,0
MANHATTAN,40.75176,-73.99453,11,3,10,0,0,Failure to Yield Right-of-Way,Sedan,0
,,,8,3,2,0,1,Failure to Yield Right-of-Way,SPORT UTILITY / STATION WAGON,0
,,,16,2,1,0,1,Unspecified,PASSENGER VEHICLE,0
QUEENS,40.75472,-73.81704,14,5,12,1,0,Failure to Yield Right-of-Way,,0
BROOKLYN,40.652412,-73.95423,6,3,10,0,0,Unspecified,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.598866,-73.956024,8,1,5,0,1,Unspecified,Sedan,0
,,,21,1,9,0,0,Unspecified,Sedan,0
MANHATTAN,40.8076539,-73.9392486,19,3,5,0,0,Unspecified,PASSENGER VEHICLE,0
QUEENS,40.7192826,-73.7636078,9,4,2,0,1,Failure to Yield Right-of-Way,SPORT UTILITY / STATION WAGON,0
BROOKLYN,40.6426886,-73.9576354,17,5,8,1,1,Passenger Distraction,PASSENGER VEHICLE,1
STATEN ISLAND,40.6382695,-74.0787893,15,0,12,0,0,Unspecified,SPORT UTILITY / STATION WAGON,0
QUEENS,40.752472,-73.878174,12,2,10,0,0,Failure to Yield Right-of-Way,Van,0
MANHATTAN,40.778282,-73.94837,21,2,5,0,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,1
BROOKLYN,40.6701245,-73.9552712,4,6,12,1,0,Unspecified,UNKNOWN,0
MANHATTAN,40.7627399,-73.959696,20,6,10,1,0,Other Vehicular,PASSENGER VEHICLE,0
MANHATTAN,40.7373303,-73.9926531,13,2,8,0,0,Failure to Yield Right-of-Way,VAN,0
BROOKLYN,40.7256163,-73.944497,16,0,10,0,1,Aggressive Driving/Road Rage,SPORT UTILITY / STATION WAGON,0
QUEENS,40.7575642,-73.9018991,4,4,7,0,0,Unspecified,PASSENGER VEHICLE,0
MANHATTAN,40.847355,-73.93518,13,0,4,0,0,Driver Inattention/Distraction,Sedan,0
QUEENS,,,12,3,4,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
QUEENS,40.6870036,-73.8283554,17,3,2,0,1,Unspecified,PASSENGER VEHICLE,0
MANHATTAN,40.82,-73.95887,2,1,5,0,0,Driver Inattention/Distraction,Bike,1
MANHATTAN,40.758377,-73.994385,20,3,3,0,0,Failure to Yield Right-of-Way,Taxi,0
BRONX,40.8783502,-73.8703365,4,5,7,1,0,Unspecified,SPORT UTILITY / STATION WAGON,0
MANHATTAN,40.83593,-73.94352,5,6,11,1,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
BROOKLYN,40.692993,-73.955826,20,0,3,0,0,Driver Inattention/Distraction,Sedan,1
QUEENS,40.77878,-73.782875,19,3,11,0,0,Failure to Yield Right-of-Way,Sedan,0
BRONX,40.8262017,-73.8216767,12,6,10,1,0,Failure to Yield Right-of-Way,PASSENGER VEHICLE,0
QUEENS,40.755398,-73.86918,22,6,7,1,0,Unspecified,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.7176204,-74.0002742,9,2,10,0,1,Failure to Yield Right-of-Way,TAXI,1
,40.753284,-73.92049,0,6,8,1,0,Driver Inattention/Distraction,Taxi,1
MANHATTAN,40.713615,-74.00676,18,1,11,0,1,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle,0
STATEN ISLAND,40.558197,-74.1766,20,3,1,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,0
MANHATTAN,40.75863,-73.98709,3,6,6,1,0,Driver Inattention/Distraction,Bike,1
BRONX,40.828594,-73.92173,17,1,4,0,1,Backing Unsafely,Sedan,0
BROOKLYN,40.639557,-74.00891,10,0,3,0,0,Passenger Distraction,Station Wagon/Sport Utility Vehicle,1
MANHATTAN,40.715244,-74.00867,12,2,7,0,0,Unspecified,Bike,1
